@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 60\nSize of the tree: 119\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

tyrex,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1134,127,44,83,0,34.645669,65.354331,0,0,0.366993,0.428576,100,100,248.499014,248.499014,0,1.956685,1.956685,0,0,0,0,1,44,1,83,0,0,0,0,0.346457,1,0.51462,0.5,0.346457,0.346457,0.653543,0.653543,0.120032,0.346457,0.178294,0.5,0,0.01,0,0,1280,153329,19398,?,?,?,?
tyrex,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.001,0,0,0,1280,153462,19265,?,?,?,?
tyrex,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.366867,0.42841,100,100,246.380435,246.380435,0,1.9554,1.9554,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1134,127,45,82,0,35.433071,64.566929,0,0,0.36656,0.428008,100,100,247.879713,247.879713,0,1.951809,1.951809,0,0,0,0,1,45,1,82,0,0,0,0,0.354331,1,0.523256,0.5,0.354331,0.354331,0.645669,0.645669,0.12555,0.354331,0.185406,0.5,0,0,0,0,1280,153329,19398,?,?,?,?
tyrex,4,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.366867,0.42841,100,100,246.380435,246.380435,0,1.9554,1.9554,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0.001,0,0,0,1280,153462,19265,?,?,?,?
tyrex,4,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.366898,0.428451,100,100,246.435029,246.435029,0,1.955834,1.955834,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,4,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,4,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,44,82,0,34.920635,65.079365,0,0,0.36709,0.428703,100,100,246.823513,246.823513,0,1.958917,1.958917,0,0,0,0,1,44,1,82,0,0,0,0,0.349206,1,0.517647,0.5,0.349206,0.349206,0.650794,0.650794,0.121945,0.349206,0.180766,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0,0,0,1280,153462,19265,?,?,?,?
tyrex,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0,0.001,0,0,1280,153462,19265,?,?,?,?
tyrex,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160324.1517,1135,126,45,81,0,35.714286,64.285714,0,0,0.366463,0.42788,100,100,245.815728,245.815728,0,1.950918,1.950918,0,0,0,0,1,45,1,81,0,0,0,0,0.357143,1,0.526316,0.5,0.357143,0.357143,0.642857,0.642857,0.127551,0.357143,0.18797,0.5,0.001,0,0,0,1280,153462,19265,?,?,?,?
