@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ epic, poetry, drama, report }


@DATA
132, 0.01652892561983471, 0.5833333333333334, 0.016741071428571428, 18.142857142857142, 24, 4, epic
46, 0.0, 1.0, 0.03257328990228013, 11.5, 16, 6, poetry
2548, 0.013931214627775359, 0.746268656716418, 0.01638781217800893, 12.48, 30, 1, report
130, 0.016666666666666666, 1.3636363636363635, 0.031638418079096044, 8.933333333333334, 24, 1, epic
1374, 0.011980830670926517, 0.7202797202797203, 0.017831870931219927, 13.145631067961165, 34, 1, report
62, 0.0, 0.5, 0.014084507042253521, 19.666666666666668, 22, 17, poetry
82, 0.0, 0.8571428571428571, 0.03339517625231911, 13.5, 21, 7, poetry
2380, 0.0, 0.47368421052631576, 0.036288837037946706, 13.042328042328043, 85, 2, drama
249, 0.0, 1.2162162162162162, 0.03390714658320292, 6.022222222222222, 27, 1, drama
2424, 0.006340579710144928, 0.8270042194092827, 0.022703006462489465, 12.260204081632653, 40, 1, report
455, 0.05755395683453238, 0.9830508474576272, 0.019256485691361326, 8.172413793103448, 29, 1, report
2446, 0.0008908685968819599, 1.7623762376237624, 0.03828046183163322, 7.303370786516854, 30, 1, drama
163, 0.0, 0.5769230769230769, 0.02198768689533861, 11.333333333333334, 52, 1, drama
55, 0.0392156862745098, 1.6, 0.0327455919395466, 7.25, 14, 2, epic
1050, 0.030526315789473683, 0.6694214876033058, 0.016902088615236024, 12.716049382716049, 39, 1, report
124, 0.0, 0.8, 0.028205128205128206, 15.25, 24, 5, poetry
48, 0.0, 1.2, 0.022099447513812154, 8.166666666666666, 10, 6, poetry
4721, 0.0051752528816749, 0.515274949083503, 0.016120292603630453, 17.798418972332016, 57, 1, report
598, 0.0, 1.6744186046511629, 0.03211009174311927, 4.555555555555555, 10, 1, drama
115, 0.01904761904761905, 1.2727272727272727, 0.026900584795321637, 8.428571428571429, 30, 2, epic
739, 0.0, 1.2924528301886793, 0.034904013961605584, 5.9489051094890515, 29, 1, drama
1588, 0.0, 0.6555555555555556, 0.035358649789029535, 9.435028248587571, 48, 1, drama
80, 0.0, 0.5714285714285714, 0.028513238289205704, 19.25, 25, 14, poetry
184, 0.0, 0.6666666666666666, 0.028949545078577336, 17.9, 35, 2, poetry
