@relation tyrex


@attribute	text_length	numeric
@attribute	digit_frequency	numeric
@attribute	hashtag_frequency	numeric
@attribute	punctuation_frequency	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	class	{ test-data, poetry, report, drama, epik, poems, epic }


@DATA
1827, 0.0024937655860349127, 0.0, 0.0007673124880107424, 13.859375, 64, 1, report
663, 0.0, 0.0, 0.002082899395959175, 22.607142857142858, 64, 1, epik
162, 0.0, 0.0, 0.005291005291005291, 9.555555555555555, 28, 1, poems
453, 0.0, 0.0, 0.004139715394566624, 8.24074074074074, 35, 1, drama
114, 0.0, 0.0, 0.0, 16.285714285714285, 20, 3, poems
292, 0.0, 0.0, 0.0, 18.533333333333335, 45, 2, epic
25, 0.0, 0.0, 0.0, 7.0, 22, 1, poetry
1243, 0.00021094821221390148, 0.0, 0.0006328446366417044, 25.67391304347826, 62, 7, poetry
114, 0.0, 0.0, 0.003015075376884422, 6.2, 16, 1, drama
443, 0.0, 0.0, 0.0003068425897514575, 15.0, 50, 1, epik
129, 0.0, 0.0, 0.0, 6.318181818181818, 19, 1, drama
41, 0.0, 0.0, 0.0, 5.222222222222222, 18, 1, poems
279, 0.00444624090541633, 0.0, 0.0008084074373484236, 8.696969696969697, 21, 1, report
1136, 0.0, 0.0, 0.0016937669376693768, 12.444444444444445, 82, 1, epik
960, 0.0, 0.0, 0.003367813326918451, 7.4603174603174605, 75, 1, drama
49, 0.0, 0.0, 0.0, 8.333333333333334, 22, 3, poetry
450, 0.0, 0.0, 0.0023501762632197414, 14.129032258064516, 51, 1, epik
35, 0.0, 0.0, 0.0, 8.75, 20, 1, poems
1736, 0.0014485451568207583, 0.0, 0.0005668220178863837, 13.165354330708661, 45, 1, report
213, 0.0006119951040391676, 0.0, 0.0006119951040391676, 13.933333333333334, 29, 1, epik
261, 0.0009555661729574773, 0.0, 0.0023889154323936935, 16.6, 38, 1, epic
89, 0.0, 0.0, 0.004037685060565276, 13.0, 22, 3, poems
41, 0.0, 0.0, 0.0, 5.222222222222222, 18, 1, poetry
292, 0.0, 0.0, 0.0, 18.533333333333335, 45, 2, epik
1984, 0.0, 0.0, 0.0029623360135421074, 9.995073891625616, 44, 1, drama
403, 0.0, 0.0, 0.002263906856403622, 16.25, 31, 3, epic
106, 0.0, 0.0, 0.0, 8.285714285714286, 27, 1, poems
35, 0.0, 0.0, 0.003676470588235294, 9.0, 30, 1, poetry
403, 0.0, 0.0, 0.002263906856403622, 16.25, 31, 3, epik
678, 0.0, 0.0, 0.0031725888324873096, 7.052631578947368, 93, 1, drama
1521, 0.00017322016282695306, 0.0, 0.0006062705698943357, 17.36470588235294, 45, 5, poetry
33, 0.003875968992248062, 0.0, 0.0, 8.5, 19, 1, epic
489, 0.0, 0.0, 0.0011993283761093788, 11.023255813953488, 108, 1, drama
482, 0.0, 0.0, 0.002135611318739989, 12.837837837837839, 45, 1, epik
1122, 0.0024330900243309003, 0.0, 0.0005068937550689375, 14.958333333333334, 42, 1, report
38, 0.0, 0.0, 0.0, 5.857142857142857, 17, 1, poetry
46, 0.0, 0.0, 0.0, 8.0, 23, 1, poems
33, 0.003875968992248062, 0.0, 0.0, 8.5, 19, 1, epik
663, 0.0, 0.0, 0.002082899395959175, 22.607142857142858, 64, 1, epic
1212, 0.0, 0.0, 0.0031264367816091956, 7.285714285714286, 35, 1, drama
450, 0.0, 0.0, 0.0023501762632197414, 14.129032258064516, 51, 1, epic
2430, 0.0, 0.0, 0.0012826232433638188, 19.089430894308943, 90, 1, epik
792, 0.0016221796195251437, 0.0, 0.006046305854593718, 8.659340659340659, 61, 1, drama
482, 0.0, 0.0, 0.002135611318739989, 12.837837837837839, 45, 1, epic
41, 0.0, 0.0, 0.0, 10.25, 19, 1, poetry
312, 0.0018368846436443791, 0.0, 0.002571638501102131, 11.807692307692308, 55, 1, report
137, 0.0, 0.0, 0.003799392097264438, 4.758620689655173, 21, 1, drama
459, 0.002509410288582183, 0.0, 0.0005018820577164366, 10.266666666666667, 30, 1, report
67, 0.0, 0.0, 0.005893909626719057, 33.5, 64, 3, poems
429, 0.0, 0.0, 0.0003002101471029721, 18.416666666666668, 62, 1, poems
36, 0.0, 0.0, 0.0, 18.5, 35, 2, poems
189, 0.0, 0.0, 0.0, 15.0, 43, 1, poems
106, 0.0, 0.0, 0.0, 8.285714285714286, 27, 1, poetry
375, 0.0, 0.0, 0.00034352456200618345, 12.89655172413793, 32, 1, epic
128, 0.0008453085376162299, 0.0, 0.0016906170752324597, 8.117647058823529, 29, 1, poetry
745, 0.0, 0.0, 0.002335189509610203, 15.1875, 58, 1, epik
731, 0.0, 0.0, 0.003329633740288568, 8.112359550561798, 43, 1, drama
73, 0.00315955766192733, 0.0, 0.0, 6.5, 19, 1, epik
125, 0.0, 0.0, 0.0, 4.88, 14, 1, drama
738, 0.00017953321364452425, 0.0, 0.00017953321364452425, 25.071428571428573, 49, 7, epic
89, 0.0, 0.0, 0.004037685060565276, 13.0, 22, 3, poetry
298, 0.0, 0.0, 0.002555366269165247, 16.72222222222222, 25, 1, poetry
132, 0.0, 0.0, 0.007582938388625593, 6.619047619047619, 19, 1, drama
68, 0.0, 0.0, 0.0, 16.25, 50, 2, epic
241, 0.0006071645415907711, 0.0, 0.0018214936247723133, 25.77777777777778, 39, 18, poems
923, 0.0, 0.0, 0.0012175324675324675, 21.627906976744185, 85, 1, poems
859, 0.0, 0.0, 0.0010139049826187717, 12.787878787878787, 50, 1, epik
41, 0.002824858757062147, 0.0, 0.0, 8.2, 15, 1, epik
859, 0.0, 0.0, 0.0010139049826187717, 12.787878787878787, 50, 1, epic
172, 0.0, 0.0, 0.0013486176668914363, 8.0, 25, 1, poetry
55, 0.0, 0.0, 0.0025, 13.75, 27, 3, poetry
745, 0.0, 0.0, 0.002335189509610203, 15.1875, 58, 1, epic
1311, 0.00020193861066235866, 0.0, 0.0006058158319870759, 17.666666666666668, 45, 1, poems
213, 0.0006119951040391676, 0.0, 0.0006119951040391676, 13.933333333333334, 29, 1, epic
55, 0.0, 0.0, 0.0025, 13.75, 27, 3, poems
60, 0.0, 0.0, 0.0, 7.875, 24, 1, poems
35, 0.0, 0.0, 0.003676470588235294, 9.0, 30, 1, poems
2430, 0.0, 0.0, 0.0012826232433638188, 19.089430894308943, 90, 1, epic
375, 0.0, 0.0, 0.00034352456200618345, 12.89655172413793, 32, 1, epik
189, 0.0, 0.0, 0.0, 15.0, 43, 1, poetry
35, 0.0, 0.0, 0.0, 8.75, 20, 1, poetry
38, 0.0, 0.0, 0.0, 9.75, 33, 1, poetry
1349, 0.001347587817806127, 0.0, 0.0008983918785374181, 14.042553191489361, 47, 1, report
49, 0.0, 0.0, 0.0, 8.333333333333334, 22, 3, poems
41, 0.0, 0.0, 0.0, 10.25, 19, 1, poems
114, 0.0, 0.0, 0.0, 16.285714285714285, 20, 3, poetry
298, 0.0, 0.0, 0.002555366269165247, 16.72222222222222, 25, 1, poems
754, 0.0, 0.0, 0.0027664768104149716, 11.555555555555555, 58, 1, drama
46, 0.0, 0.0, 0.0, 8.0, 23, 1, poetry
60, 0.0, 0.0, 0.0, 7.875, 24, 1, poetry
46, 0.0, 0.0, 0.0, 7.0, 23, 1, poetry
65, 0.0, 0.0, 0.003875968992248062, 11.0, 21, 2, poetry
1126, 0.0, 0.0, 0.0009660669001328342, 15.985507246376812, 53, 1, epic
1136, 0.0, 0.0, 0.0016937669376693768, 12.444444444444445, 82, 1, epic
224, 0.0, 0.0, 0.001041124414367517, 9.95, 22, 2, poetry
468, 0.0, 0.0, 0.003097573567372225, 13.757575757575758, 80, 1, drama
923, 0.0, 0.0, 0.0012175324675324675, 21.627906976744185, 85, 1, poetry
896, 0.00233292164127899, 0.0, 0.0002744613695622341, 11.710526315789474, 33, 1, report
1283, 0.0, 0.0, 0.002723939235201676, 21.17241379310345, 116, 1, epic
56, 0.0, 0.0, 0.0, 7.375, 21, 1, poems
284, 0.0005091649694501018, 0.0, 0.0015274949083503055, 24.818181818181817, 39, 13, poetry
38, 0.0, 0.0, 0.0, 9.75, 33, 1, poems
172, 0.0, 0.0, 0.0013486176668914363, 8.0, 25, 1, poems
1126, 0.0, 0.0, 0.0009660669001328342, 15.985507246376812, 53, 1, epik
121, 0.0, 0.0, 0.0, 13.0, 72, 1, epic
49, 0.0, 0.0, 0.0, 8.333333333333334, 22, 3, test-data
416, 0.0003190810465858328, 0.0, 0.0009572431397574984, 28.071428571428573, 59, 3, poems
738, 0.00017953321364452425, 0.0, 0.00017953321364452425, 25.071428571428573, 49, 7, poems
1863, 0.0, 0.0, 0.000752651385562778, 14.26771653543307, 64, 1, epic
36, 0.0, 0.0, 0.0, 18.5, 35, 2, poetry
73, 0.00315955766192733, 0.0, 0.0, 6.5, 19, 1, epic
212, 0.0, 0.0, 0.0031762837480148226, 11.210526315789474, 35, 2, drama
261, 0.0009555661729574773, 0.0, 0.0023889154323936935, 16.6, 38, 1, epik
209, 0.0, 0.0, 0.004662004662004662, 9.08695652173913, 47, 1, drama
1863, 0.0, 0.0, 0.000752651385562778, 14.26771653543307, 64, 1, epik
224, 0.0, 0.0, 0.001041124414367517, 9.95, 22, 2, poems
46, 0.0, 0.0, 0.0, 7.0, 23, 1, poems
635, 0.0, 0.0, 0.005386620330147697, 7.590909090909091, 37, 1, drama
2331, 0.0012310419539097893, 0.0, 0.0005909001378766989, 13.228070175438596, 56, 1, report
25, 0.0, 0.0, 0.0, 7.0, 22, 1, poems
522, 0.0002554931016862545, 0.0, 0.0007664793050587634, 27.444444444444443, 59, 3, poetry
1311, 0.00020193861066235866, 0.0, 0.0006058158319870759, 17.666666666666668, 45, 1, epic
68, 0.0, 0.0, 0.0, 16.25, 50, 2, epik
416, 0.0003190810465858328, 0.0, 0.0009572431397574984, 28.071428571428573, 59, 3, epic
147, 0.00016147263038914905, 0.0, 0.003713870498950428, 1.7674418604651163, 10, 1, poetry
241, 0.0006071645415907711, 0.0, 0.0018214936247723133, 25.77777777777778, 39, 18, epic
239, 0.0, 0.0, 0.0, 15.125, 23, 1, poetry
67, 0.0, 0.0, 0.005893909626719057, 33.5, 64, 3, poetry
38, 0.0, 0.0, 0.0, 5.857142857142857, 17, 1, poems
31, 0.011764705882352941, 0.0, 0.0058823529411764705, 8.0, 21, 1, poems
65, 0.0, 0.0, 0.003875968992248062, 11.0, 21, 2, poems
1283, 0.0, 0.0, 0.002723939235201676, 21.17241379310345, 116, 1, epik
128, 0.0008453085376162299, 0.0, 0.0016906170752324597, 8.117647058823529, 29, 1, poems
239, 0.0, 0.0, 0.0, 15.125, 23, 1, poems
443, 0.0, 0.0, 0.0003068425897514575, 15.0, 50, 1, epic
41, 0.002824858757062147, 0.0, 0.0, 8.2, 15, 1, epic
162, 0.0, 0.0, 0.005291005291005291, 9.555555555555555, 28, 1, poetry
