@relation tyrex


@attribute	NE_frequency	numeric
@attribute	word_variance	numeric
@attribute	digit_frequency	numeric
@attribute	noun_frequency	numeric
@attribute	phrases_per_paragraph	numeric
@attribute	punctuation_frequency	numeric
@attribute	rhyme_average	numeric
@attribute	sentence_length_avg	numeric
@attribute	sentence_length_max	numeric
@attribute	sentence_length_min	numeric
@attribute	text_length	numeric
@attribute	verb_frequency	numeric
@attribute	word_length_average	numeric
@attribute	class	{ erzaehlung, lyrik, dramatik, lustspiel, essay, tragoedie, maerchen, novelle, sonett, roman, ballade, fabel }


@DATA
0.0017079419299743809, 0.2134927412467976, 0.0, 0.16225448334756618, 0.5823529411764706, 0.02524810274372446, 0.6035502958579881, 22.01010101010101, 60, 4, 2250, 1.0, 0.8224240031583103, maerchen
0.2, 0.7, 0.0, 0.1, 0.6666666666666666, 0.028409090909090908, 0.0, 13.0, 22, 4, 27, 1.0, 0.8343949044585988, lyrik
0.0027548209366391185, 0.40771349862258954, 0.0, 0.17355371900826447, 0.6428571428571429, 0.02901178603807797, 0.32142857142857145, 18.833333333333332, 41, 1, 349, 1.0, 0.8263888888888888, fabel
0.022896698615548456, 0.2955271565495208, 0.0006075334143377885, 0.15335463258785942, 0.7375886524822695, 0.02832984658298466, 0.524822695035461, 16.817307692307693, 68, 1, 1786, 1.0, 0.8284864190421346, roman
0.013888888888888888, 0.5138888888888888, 0.0, 0.2013888888888889, 1.3636363636363635, 0.03518728717366629, 0.0, 8.8, 27, 2, 128, 1.0, 0.8295302013422818, fabel
0.004977600796416127, 0.2105525136884022, 0.0, 0.18068690890990544, 0.7375, 0.0281859792821007, 0.660377358490566, 16.02542372881356, 60, 1, 1933, 1.0, 0.8253813409010288, maerchen
0.007425742574257425, 0.32425742574257427, 0.0014064697609001407, 0.14356435643564355, 0.9310344827586207, 0.028721174004192874, 0.22807017543859648, 14.148148148148149, 45, 2, 768, 1.0, 0.8197414806110458, maerchen
0.023809523809523808, 0.6666666666666666, 0.0, 0.30952380952380953, 0.5714285714285714, 0.02376599634369287, 0.0, 20.25, 24, 18, 84, 1.0, 0.8359683794466403, lyrik
0.02586206896551724, 0.6724137931034483, 0.009523809523809525, 0.22413793103448276, 0.7, 0.03723404255319149, 0.0, 15.857142857142858, 35, 7, 114, 1.0, 0.8325925925925926, sonett
0.017809439002671415, 0.39403383793410507, 0.0019540791402051783, 0.19902048085485308, 0.5204081632653061, 0.023542241324010522, 0.6410256410256411, 21.058823529411764, 61, 1, 2242, 1.0, 0.8455334987593052, lyrik
0.028169014084507043, 0.5305164319248826, 0.0, 0.19953051643192488, 1.0909090909090908, 0.035311248634874406, 0.21212121212121213, 11.277777777777779, 49, 1, 403, 1.0, 0.8315262718932444, tragoedie
0.05128205128205128, 0.7230769230769231, 0.0, 0.19487179487179487, 0.9375, 0.030660377358490566, 0.13333333333333333, 12.533333333333333, 48, 3, 189, 1.0, 0.8333333333333334, lyrik
0.015658061785865426, 0.2767668218366483, 0.0009345794392523365, 0.15869657215404148, 0.47802197802197804, 0.026120180618270233, 0.6353591160220995, 25.586206896551722, 82, 4, 2321, 1.0, 0.8269947800149142, roman
0.008547008547008548, 0.6837606837606838, 0.0, 0.2863247863247863, 1.2272727272727273, 0.03501945525291829, 0.2857142857142857, 8.851851851851851, 39, 1, 234, 1.0, 0.8493859082094376, lyrik
0.012006861063464836, 0.36792452830188677, 0.0009541984732824427, 0.26329331046312177, 0.5074626865671642, 0.01992512215242084, 0.68, 21.53921568627451, 56, 2, 2296, 1.0, 0.8442060959880524, roman
0.0, 0.75, 0.0, 0.53125, 2.3333333333333335, 0.04411764705882353, 0.0, 5.142857142857143, 14, 2, 32, 1.0, 0.8530805687203792, lyrik
0.010526315789473684, 0.7789473684210526, 0.0, 0.29473684210526313, 0.5, 0.02204724409448819, 0.0, 22.75, 50, 13, 95, 1.0, 0.8414839797639123, sonett
0.015625, 0.37109375, 0.005943536404160475, 0.19401041666666666, 0.625, 0.027282976324689966, 0.23636363636363636, 20.2, 64, 2, 728, 1.0, 0.8213320226099778, fabel
0.0, 0.7241379310344828, 0.0, 0.1724137931034483, 0.6666666666666666, 0.026595744680851064, 0.0, 14.0, 22, 6, 29, 1.0, 0.834319526627219, lyrik
0.10101010101010101, 0.696969696969697, 0.0, 0.16161616161616163, 0.5, 0.025848142164781908, 0.0, 23.75, 35, 9, 99, 1.0, 0.8295652173913044, maerchen
0.0, 0.9130434782608695, 0.0, 0.34782608695652173, 1.0, 0.013422818791946308, 0.0, 10.5, 12, 9, 21, 1.0, 0.849624060150376, lyrik
0.017543859649122806, 0.5482456140350878, 0.012106537530266344, 0.2565789473684211, 0.7948717948717948, 0.01728, 0.23684210526315788, 14.290322580645162, 45, 3, 451, 1.0, 0.8423265592151367, maerchen
0.009933774834437087, 0.6026490066225165, 0.003663003663003663, 0.20198675496688742, 0.6, 0.032703117015840576, 0.25, 19.133333333333333, 92, 5, 297, 1.0, 0.8344519015659956, lyrik
0.011379800853485065, 0.35467045993361784, 0.0005293806246691371, 0.1602655286865813, 0.5406976744186046, 0.023283143591626882, 0.5555555555555556, 21.301075268817204, 101, 3, 2060, 1.0, 0.8371945916027517, erzaehlung
0.005388542257515599, 0.24532047646057856, 0.0, 0.19285309132161088, 0.703971119133574, 0.023410624134387704, 0.7065217391304348, 17.24102564102564, 57, 1, 3443, 1.0, 0.8301454084122182, maerchen
0.018970736629667004, 0.15539858728557013, 0.0001145475372279496, 0.13985872855701312, 0.7232267037552156, 0.02823686737073104, 0.8191933240611962, 17.786538461538463, 94, 1, 9448, 1.0, 0.8218547915763278, roman
0.012350761630300536, 0.27254013997529847, 0.001885014137606032, 0.14615067929188966, 0.9032258064516129, 0.025456449185262745, 0.6864864864864865, 13.625, 65, 2, 2307, 1.0, 0.831875182268883, roman
0.02, 0.59, 0.021505376344086023, 0.24, 1.875, 0.030042918454935622, 0.0, 7.133333333333334, 16, 1, 100, 1.0, 0.8272251308900523, fabel
0.036664084688871675, 0.2726568551510457, 0.00030864197530864197, 0.195713916860315, 0.9269102990033222, 0.027878099257395608, 0.6644518272425249, 12.609318996415771, 59, 1, 3540, 1.0, 0.8390673999000137, roman
0.024475524475524476, 0.6083916083916084, 0.003952569169960474, 0.24475524475524477, 0.391304347826087, 0.034425319267073845, 0.2727272727272727, 29.0, 95, 2, 275, 1.0, 0.8365155131264916, lyrik
0.01818181818181818, 0.6272727272727273, 0.0, 0.16363636363636364, 0.6666666666666666, 0.03003003003003003, 0.0, 16.333333333333332, 25, 1, 101, 1.0, 0.8311258278145696, lyrik
