@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

tyrex,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,112,14,0,88.888889,11.111111,0,0.848739,0.074053,0.20463,20.185143,47.764919,246.380435,50.29425,196.086185,1.9554,0.399161,1.55624,205.247639,1.62895,10505.934846,0.727273,16,0.048077,5,0.951923,99,0.272727,6,0.761905,0.727273,0.744186,0.964161,0.888889,0.041064,0.958936,0.111111,0.887428,0.888889,0.88781,0.980387,1.527,0.001,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1134,127,107,20,0,84.251969,15.748031,0,0.789944,0.082598,0.226335,22.533197,52.880912,247.879713,77.336646,170.543067,1.951809,0.60895,1.342859,204.395096,1.60941,10460.16209,0.909091,20,0.152381,16,0.847619,89,0.090909,2,0.555556,0.909091,0.689655,0.941991,0.84252,0.037921,0.962079,0.15748,0.887149,0.84252,0.850996,0.972618,1.568,0,1.57,0,16868,125833,16070,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,113,13,0,89.68254,10.31746,0,0.858415,0.07806,0.207163,21.277445,48.356232,246.380435,61.956397,184.424037,1.9554,0.491717,1.463683,203.491274,1.61501,10416.032444,0.590909,13,0.019231,2,0.980769,102,0.409091,9,0.866667,0.590909,0.702703,0.920017,0.896825,0.039539,0.960461,0.103175,0.89478,0.896825,0.890351,0.972605,1.542,0,1.55,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,111,15,0,88.095238,11.904762,0,0.838323,0.079271,0.214102,21.605654,49.971246,246.435029,62.839976,183.595054,1.955834,0.49873,1.457104,204.245235,1.620994,10454.878589,0.727273,16,0.048077,5,0.951923,99,0.272727,6,0.761905,0.727273,0.744186,0.9375,0.880952,0.042088,0.957912,0.119048,0.879301,0.880952,0.879126,0.973519,1.541,0.001,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,110,16,0,87.301587,12.698413,0,0.827279,0.087444,0.241786,23.820871,56.39949,246.823513,121.996137,124.827376,1.958917,0.968223,0.990693,197.882147,1.570493,10130.935485,0.695652,16,0.048544,5,0.951456,98,0.304348,7,0.761905,0.695652,0.727273,0.848459,0.873016,0.04827,0.95173,0.126984,0.869737,0.873016,0.870761,0.939307,1.529,0,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,106,20,0,84.126984,15.873016,0,0.786567,0.090453,0.236794,24.640682,55.235,246.823513,86.742808,160.080705,1.958917,0.688435,1.270482,197.0373,1.563788,10087.682015,0.826087,19,0.116505,12,0.883495,91,0.173913,4,0.612903,0.826087,0.703704,0.924441,0.84127,0.049786,0.950214,0.15873,0.858006,0.84127,0.84458,0.957807,1.534,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,116,10,0,92.063492,7.936508,0,0.891323,0.065341,0.188247,17.830177,43.995346,245.815728,76.778674,169.037053,1.950918,0.609355,1.341564,209.623108,1.663675,10727.187562,0.681818,15,0.028846,3,0.971154,101,0.318182,7,0.833333,0.681818,0.75,0.870192,0.920635,0.028185,0.971815,0.079365,0.919079,0.920635,0.917659,0.970976,1.53,0,1.53,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,115,11,0,91.269841,8.730159,0,0.881397,0.071304,0.205268,19.45736,47.97334,245.815728,67.381196,178.434532,1.950918,0.534771,1.416147,208.771803,1.656919,10683.623106,0.909091,20,0.057692,6,0.942308,98,0.090909,2,0.769231,0.909091,0.833333,0.985577,0.912698,0.030083,0.969917,0.087302,0.91796,0.912698,0.913875,0.980943,1.53,0,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,107,19,0,84.920635,15.079365,0,0.797325,0.092322,0.243724,25.192783,56.960791,245.815728,97.214904,148.600823,1.950918,0.771547,1.179372,195.876961,1.554579,10023.746525,0.818182,18,0.096154,10,0.903846,94,0.181818,4,0.642857,0.818182,0.72,0.890297,0.849206,0.046289,0.953711,0.150794,0.861997,0.849206,0.849744,0.948048,1.539,0,1.54,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
tyrex,2,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160126.0129,1135,126,111,15,0,88.095238,11.904762,0,0.838074,0.080509,0.204101,21.969196,47.700605,245.815728,68.396658,177.41907,1.950918,0.542831,1.408088,203.696689,1.61664,10423.910806,0.772727,17,0.067308,7,0.932692,97,0.227273,5,0.708333,0.772727,0.73913,0.955857,0.880952,0.042953,0.957047,0.119048,0.883367,0.880952,0.88176,0.969497,1.549,0,1.55,0,16868,125942,15961,?,?,?,?,?,?,?,?,?,?,?,?
